Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments,Age_Group,clean_comments,polarity,sentiment
2014-08-27 12:23:59,35,Male,United States,OR,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No,No,I've seen negative consequences towards mental health conditions in previous workplaces.Working remote is empowering in this way.,26-35,i ve seen negative consequences towards mental health conditions in previous workplaces working remote is empowering in this way,-0.16666666666666666,Negative
2014-08-27 12:38:18,37,Male,United Kingdom,Unknown,Yes,No,Yes,Sometimes,More than 1000,No,No,No,Yes,Yes,Yes,Yes,Very difficult,Yes,Yes,Some of them,No,No,Maybe,Yes,No,I'm not a permanent employee so do not get they benefits they get.My client is extremely supportive of permanent staff with mental health issues.,36-45,i m not a permanent employee so do not get they benefits they get my client is extremely supportive of permanent staff with mental health issues,0.2,Positive
2014-08-27 12:39:18,30,Male,United States,PA,No,Yes,No,Don't know,More than 1000,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No,I'd be more worried about coworkers and workplace culture than the employer--they're probably legally obligated to do some things but reputation among people I work with is something else. For instance I've heard people make snide remarks about men taking paternity leave I don't want to know what they'd say about mental health leave.,26-35,i d be more worried about coworkers and workplace culture than the employer they re probably legally obligated to do some things but reputation among people i work with is something else for instance i ve heard people make snide remarks about men taking paternity leave i don t want to know what they d say about mental health leave,0.19999999999999998,Positive
2014-08-27 12:43:28,27,Male,United States,UT,No,No,Yes,Rarely,26-100,Yes,Yes,No,Yes,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Yes,No,No,Don't know,Yes,Had a co-worker disappear from work for a few weeks and then come back to let everyone know he was bipolar. His responsibilities and schedule were adjusted to accommodate but he got worse didn't show up didn't work etc and was eventually let go.It was tough because on the one hand he was struggling with some mental health issues but on the other hand he went through a period of months where he wasn't performing.,26-35,had a co worker disappear from work for a few weeks and then come back to let everyone know he was bipolar his responsibilities and schedule were adjusted to accommodate but he got worse didn t show up didn t work etc and was eventually let go it was tough because on the one hand he was struggling with some mental health issues but on the other hand he went through a period of months where he wasn t performing,-0.20231481481481484,Negative
2014-08-27 12:43:40,25,Male,United States,IL,No,Yes,Yes,Sometimes,26-100,No,Yes,Don't know,Not sure,No,No,Don't know,Very easy,Maybe,No,Some of them,No,No,No,Don't know,Yes,Family history of depression.  Currently dealing with depression and anxiety as well as drug addition.Employer provides & pays premiums on insurance which covers therapy and prescriptions.  Employer allows work-from-home and unlimited PTO which makes episodes easier to control.I don't speak of my problems to anyone at work except for the people that I consider friends and even then I don't go into great detail.I would never bring up a mental health issue during an interview for fear of discrimination and rejection (and therefore greater depression).  One co-worker had serious anxiety problems and would not inform his team of episodes and was eventually let go for being unresponsive.,18-25,family history of depression currently dealing with depression and anxiety as well as drug addition employer provides pays premiums on insurance which covers therapy and prescriptions employer allows work from home and unlimited pto which makes episodes easier to control i don t speak of my problems to anyone at work except for the people that i consider friends and even then i don t go into great detail i would never bring up a mental health issue during an interview for fear of discrimination and rejection and therefore greater depression one co worker had serious anxiety problems and would not inform his team of episodes and was eventually let go for being unresponsive,0.1733333333333334,Positive
2014-08-27 12:43:53,36,Male,United Kingdom,Unknown,No,No,Yes,Sometimes,More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,Yes,I feel that my employer and colleagues have created my mental health issue. Additionally I have contributed to this by staying in the same job with the same employer for 10+ years.,36-45,i feel that my employer and colleagues have created my mental health issue additionally i have contributed to this by staying in the same job with the same employer for years,-0.03333333333333333,Neutral
2014-08-27 12:46:03,33,Female,United States,WA,Yes,Yes,Yes,Sometimes,1-5,No,Yes,No,Yes,Yes,Yes,Yes,Very difficult,No,No,Some of them,Yes,No,Yes,Yes,No,Many of these questions become irrelevant once 'Yes' is selected for 'Are you self-employed'.  It would be preferable for there to be a 'Not Relevant' option on these.,26-35,many of these questions become irrelevant once yes is selected for are you self employed it would be preferable for there to be a not relevant option on these,-0.06666666666666667,Negative
2014-08-27 12:47:25,27,Male,United Kingdom,Unknown,Yes,Yes,No,Don't know,1-5,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,No,Maybe,Yes,No,as a UK-based company we don't have any medical provisions as it's all provided on the National Health Service (for now!) However if we do need to take days off for any kind of health problems everyone is understanding :),26-35,as a uk based company we don t have any medical provisions as it s all provided on the national health service for now however if we do need to take days off for any kind of health problems everyone is understanding,0.3666666666666667,Positive
2014-08-27 12:48:40,26,Male,United Kingdom,Unknown,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Don't know,Don't know,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Don't know,No,My employer employs 17k people worldwide and my previous employer only 140 globally both have been very supportive and accommodating with my moderate depression and intense anxiety.,26-35,my employer employs k people worldwide and my previous employer only globally both have been very supportive and accommodating with my moderate depression and intense anxiety,0.11388888888888889,Positive
2014-08-27 12:50:57,32,Male,United States,MA,No,No,Yes,Often,6-25,Yes,Yes,Yes,Not sure,Don't know,Don't know,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,Yes,I am not sure about my company's healthcare because I've opted out of it and I'm covered under another policy.I currently work at a great company though in past jobs I don't think I would have felt comfortable talking about mental health at all.,26-35,i am not sure about my company s healthcare because i ve opted out of it and i m covered under another policy i currently work at a great company though in past jobs i don t think i would have felt comfortable talking about mental health at all,0.10000000000000002,Positive
2014-08-27 12:51:25,45,Female,United States,CA,No,No,Yes,Sometimes,1-5,No,Yes,Yes,No,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,No,No,Yes,No,In small startups it is very hard to keep mental health issues truly private no matter what management does.,36-45,in small startups it is very hard to keep mental health issues truly private no matter what management does,-0.18229166666666666,Negative
2014-08-27 12:51:36,33,Male,United States,TX,No,No,No,Don't know,6-25,Yes,Yes,Don't know,No,No,No,Don't know,Very easy,No,No,Yes,Yes,No,Maybe,Don't know,No,A close family member of mine struggles with mental health so I try not to stigmatize it. My employers/coworkers also seem compassionate toward any kind of health or family needs.,26-35,a close family member of mine struggles with mental health so i try not to stigmatize it my employers coworkers also seem compassionate toward any kind of health or family needs,0.25,Positive
2014-08-27 12:54:30,32,Male,Germany,Unknown,No,No,No,Sometimes,100-500,No,Yes,No,No,No,No,Don't know,Very difficult,Yes,Yes,Some of them,No,No,No,No,Yes,Too many people even especially IT considered mental health issues as a choice or something people can freely act about. You are depressed: take vacation. You feel weird: admit it is physical (otherwise it is not serious) go and see a doctor (and if you are on sick leave too many days you will get fired). You don't feel good today: take a holiday but don't work from home. In startup there is what I call the tyranny of happiness: you have to look happy to be accepted and to be worked with. At some point playing a role can definitely make the mental health issue worse and it is also a threat to diversity :(I don't like to call mental health issues an issue but actually when it comes to company field it too often becomes an issue and this is sad because working is sometimes better than medication. It is a vicious circle: people are scared of speaking about it so they don't inform their coworkers about what mental health is for real and so coworkers are so scared on a regular basis that the people with mental health issues keep it for themselves. ,26-35,too many people even especially it considered mental health issues as a choice or something people can freely act about you are depressed take vacation you feel weird admit it is physical otherwise it is not serious go and see a doctor and if you are on sick leave too many days you will get fired you don t feel good today take a holiday but don t work from home in startup there is what i call the tyranny of happiness you have to look happy to be accepted and to be worked with at some point playing a role can definitely make the mental health issue worse and it is also a threat to diversity i don t like to call mental health issues an issue but actually when it comes to company field it too often becomes an issue and this is sad because working is sometimes better than medication it is a vicious circle people are scared of speaking about it so they don t inform their coworkers about what mental health is for real and so coworkers are so scared on a regular basis that the people with mental health issues keep it for themselves,0.004095238095238099,Neutral
2014-08-27 12:57:38,27,Male,United States,OR,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,No,No,Don't know,Very easy,No,No,Some of them,Some of them,No,No,Yes,No,My seniority at the company and rapport with the owners has helped me gain support for seeking help regarding my mental health as well as being able to take time off or work from home when an episode starts.However I don't feel that the company's stance on mental health is as clear as say something like vision or dental.  There's very much a stigma.,26-35,my seniority at the company and rapport with the owners has helped me gain support for seeking help regarding my mental health as well as being able to take time off or work from home when an episode starts however i don t feel that the company s stance on mental health is as clear as say something like vision or dental there s very much a stigma,0.13200000000000003,Positive
2014-08-27 12:58:42,37,Male,Ireland,Unknown,No,No,No,Sometimes,1-5,No,Yes,No,Yes,No,No,Don't know,Very difficult,Yes,No,No,No,No,Yes,Don't know,No,When you are an introvert people don't notice if you are depressed. Its a vicious cycle of sorts.,36-45,when you are an introvert people don t notice if you are depressed its a vicious cycle of sorts,-1.0,Negative
2014-08-27 13:02:14,32,Male,United Kingdom,Unknown,No,Yes,Yes,Sometimes,100-500,Yes,Yes,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Yes,Maybe,No,No,No,No,No,Yes,I've answered 'Yes' on remote working but 50% is the maximum time we're allowed.The branch of the company I work for doesn't offer any medical benefits. It's not as common in the UK as we have the NHS for the moment. There are international branches that may so I've answered 'Don't know'.,26-35,i ve answered yes on remote working but is the maximum time we re allowed the branch of the company i work for doesn t offer any medical benefits it s not as common in the uk as we have the nhs for the moment there are international branches that may so i ve answered don t know,-0.1,Negative
2014-08-27 13:07:46,27,Male,United States,MI,Yes,Yes,Yes,Sometimes,1-5,Yes,Yes,No,No,Don't know,Don't know,Don't know,Very difficult,No,No,Some of them,No,No,No,Don't know,No,Many of these questions were difficult to answer as a self-employed person; I did my best with the available options.,26-35,many of these questions were difficult to answer as a self employed person i did my best with the available options,0.35,Positive
2014-08-27 13:08:17,30,Male,Germany,Unknown,Yes,No,Yes,Often,6-25,Yes,Yes,Yes,Yes,No,No,Yes,Very difficult,No,No,Some of them,Yes,Maybe,Yes,Yes,No,I tried to answer as good as possible but I am CEO of a company so many questions don't fit very well.Also many of the questions are very US-centric in most systems healthcare is not your employers business.,26-35,i tried to answer as good as possible but i am ceo of a company so many questions don t fit very well also many of the questions are very us centric in most systems healthcare is not your employers business,0.375,Positive
2014-08-27 13:12:31,34,Male,United States,WA,No,No,No,Don't know,6-25,No,Yes,Yes,No,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,One of my coworkers has mental health issues and she's open about them (eg: my enjoyment of this project may be due to my recent change in meds). I believe the response has been generally supportive. We're a very small tight-knit company.,26-35,one of my coworkers has mental health issues and she s open about them eg my enjoyment of this project may be due to my recent change in meds i believe the response has been generally supportive we re a very small tight knit company,-0.008333333333333331,Neutral
2014-08-27 13:15:25,23,Male,United States,PA,No,No,No,Never,26-100,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,No,Yes,No,Yes,Yes,No,A strong mind goes a long way. Stay strong. Take some time off to help. Its all in your head. ,18-25,a strong mind goes a long way stay strong take some time off to help its all in your head,0.2722222222222222,Positive
2014-08-27 13:18:18,24,Male,United States,OR,No,No,No,Don't know,1-5,No,Yes,Don't know,No,Don't know,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,Would you bring up a mental health issue with a potential employer in an interview?Poignant.,18-25,would you bring up a mental health issue with a potential employer in an interview poignant,-0.05,Neutral
2014-08-27 13:23:38,41,Male,United States,TX,No,No,Yes,Rarely,500-1000,Yes,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,Maybe,Maybe,No,No,I found it difficult to answer all of the questions effectively as many of them would depend on the nature of the mental health issues as some seem more socially accepted than others. For some people telling your current supervisor that you have a history of bi-polar disorder might be easier than telling a potential employer that you have a history of compulsive gambling. They might both be bits of irrelevant information (past behavior and not indicators of future behavior). However western culture pushes us to appear as capable as possible to our supervisors in pursuit of excellence in our work. Providing information that could create a negative bias seems like a more genuine and yet more risky approach to the discussion.,36-45,i found it difficult to answer all of the questions effectively as many of them would depend on the nature of the mental health issues as some seem more socially accepted than others for some people telling your current supervisor that you have a history of bi polar disorder might be easier than telling a potential employer that you have a history of compulsive gambling they might both be bits of irrelevant information past behavior and not indicators of future behavior however western culture pushes us to appear as capable as possible to our supervisors in pursuit of excellence in our work providing information that could create a negative bias seems like a more genuine and yet more risky approach to the discussion,0.05784313725490196,Positive
2014-08-27 13:35:23,40,Male,United States,OH,No,No,Yes,Sometimes,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,Maybe,No,No,No,Maybe,No,Yes,I have only discussed my mental illness with close family members. I feel completely uncomfortable discussing with anyone at my place of employment as I am concerned it would have negative consequences.,36-45,i have only discussed my mental illness with close family members i feel completely uncomfortable discussing with anyone at my place of employment as i am concerned it would have negative consequences,-0.22499999999999998,Negative
2014-08-27 13:47:27,42,Male,United States,WA,No,No,No,Never,6-25,Yes,Yes,No,Yes,No,Yes,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,No benefits at this organization but my employer/direct supervisor has had positive and constructive conversations with me about physical and mental health. Supervisor offered solutions advice time/energy to get help if I ever felt that needed it. (though it would have to be at my own expense). I feel safe sharing personal info with this particular person/company but this environment is the exception rather than the norm in my 15+ years as a tech worker. I would never feel safe enough to reveal info about any mental health concerns with any previous employers in the tech industry for fear of  negative perceptions job loss performance dings etc. ,36-45,no benefits at this organization but my employer direct supervisor has had positive and constructive conversations with me about physical and mental health supervisor offered solutions advice time energy to get help if i ever felt that needed it though it would have to be at my own expense i feel safe sharing personal info with this particular person company but this environment is the exception rather than the norm in my years as a tech worker i would never feel safe enough to reveal info about any mental health concerns with any previous employers in the tech industry for fear of negative perceptions job loss performance dings etc,0.1106060606060606,Positive
2014-08-27 13:54:00,41,Male,United States,AL,No,No,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Don't know,No,Don't know,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,I think I am very lucky in my workplace. Our CEO has a degree in psychology.,36-45,i think i am very lucky in my workplace our ceo has a degree in psychology,0.43333333333333335,Positive
2014-08-27 13:54:24,32,Male,United Kingdom,Unknown,Yes,Yes,Yes,Sometimes,1-5,Yes,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,Maybe,Maybe,Yes,Some of them,Maybe,Maybe,Don't know,Yes,Some of these questions were difficult to answer as being self-employed they didn't all apply to me.,26-35,some of these questions were difficult to answer as being self employed they didn t all apply to me,-0.5,Negative
2014-08-27 14:06:26,27,Male,Portugal,Unknown,No,No,No,Never,6-25,No,Yes,No,No,No,No,Yes,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,It's a small startup in a small city in a small country.,26-35,it s a small startup in a small city in a small country,-0.25,Negative
2014-08-27 14:11:46,27,Male,United Kingdom,Unknown,No,Yes,Yes,Sometimes,6-25,No,Yes,No,No,No,No,Yes,Somewhat easy,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,No,Hi Ed it's Paul Dragoonis. I have Aspergers/High Functioning Autism :-),26-35,hi ed it s paul dragoonis i have aspergers high functioning autism,0.5,Positive
2014-08-27 14:13:02,38,Male,United States,TX,No,No,Yes,Sometimes,1-5,No,Yes,No,Yes,No,No,Don't know,Don't know,No,Maybe,Some of them,No,No,No,Don't know,Yes,The form of mental health problem that I suffer is anxiety.,36-45,the form of mental health problem that i suffer is anxiety,-0.1,Negative
2014-08-27 14:23:51,27,Male,United States,TN,No,No,No,Sometimes,100-500,No,Yes,Yes,Not sure,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No,The thought of going through my employer directly to get help is fucking scary.Getting help is the hardest part of getting help.,26-35,the thought of going through my employer directly to get help is fucking scary getting help is the hardest part of getting help,-0.25,Negative
2014-08-27 14:26:32,27,Male,United States,CA,No,Yes,No,Don't know,More than 1000,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Don't know because I haven't checked not because it's difficult to find out. If you didn't have the don't know option I would've looked up the answer.,26-35,don t know because i haven t checked not because it s difficult to find out if you didn t have the don t know option i would ve looked up the answer,-0.5,Negative
2014-08-27 14:38:26,24,Male,United States,MA,No,No,No,Don't know,More than 1000,No,Yes,Yes,Yes,Don't know,Don't know,Yes,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,I think there might be some bugs in my thought but I haven't sought treatment because they're not worse than annoying and I worry about having the label.,18-25,i think there might be some bugs in my thought but i haven t sought treatment because they re not worse than annoying and i worry about having the label,-0.30000000000000004,Negative
2014-08-27 14:38:49,29,Male,United States,WA,No,No,No,Don't know,26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,I think a lot of our policy is based on a situation that occurred in the past 5 years. A very public mental illness happened with a coworker that unfortunately ended negatively. It was definitely a catalyst to talking about our options but the overall sentiment of it being OK to take time off talk with your supervisors etc. has always been there. It's a great company.,26-35,i think a lot of our policy is based on a situation that occurred in the past years a very public mental illness happened with a coworker that unfortunately ended negatively it was definitely a catalyst to talking about our options but the overall sentiment of it being ok to take time off talk with your supervisors etc has always been there it s a great company,0.01666666666666668,Neutral
2014-08-27 14:39:20,27,Male,United States,CA,No,No,No,Sometimes,More than 1000,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,Yes,No,No,No,No,Maybe,No,No,Regardless of a stated lack of negative consequences for discussing mental health issues with coworkers/superiors unconscious bias is a very real thing - as long as I don't *need* to inform my co-workers my mental health issues do not need to be public knowledge.,26-35,regardless of a stated lack of negative consequences for discussing mental health issues with coworkers superiors unconscious bias is a very real thing as long as i don t need to inform my co workers my mental health issues do not need to be public knowledge,-0.04833333333333334,Neutral
2014-08-27 14:45:12,23,Male,United States,AL,No,Yes,Yes,Sometimes,100-500,No,No,Don't know,No,No,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Don't know,No,YOU MAY WANT TO THROW OUT MY ENTRY.I answered all of these questions with the assumption that Attention Deficit Disorder is considered a mental illness and with ADD in mind.,18-25,you may want to throw out my entry i answered all of these questions with the assumption that attention deficit disorder is considered a mental illness and with add in mind,-0.1,Negative
2014-08-27 14:49:08,29,Male,Belgium,Unknown,No,No,No,Often,6-25,No,No,Don't know,No,No,No,Don't know,Don't know,Maybe,No,Yes,Yes,Maybe,Maybe,Don't know,No,In Belgium we have all medical care so perhaps some question are not relevant,26-35,in belgium we have all medical care so perhaps some question are not relevant,-0.1,Negative
2014-08-27 14:51:29,30,Male,United Kingdom,Unknown,No,No,No,Never,6-25,No,Yes,No,No,No,Don't know,Don't know,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,A co-worker recently had mental health issues and my employer was very reasonable with them I don't know the full story but I do know that he was given ample time off and eased back in to the work place.,26-35,a co worker recently had mental health issues and my employer was very reasonable with them i don t know the full story but i do know that he was given ample time off and eased back in to the work place,0.10200000000000001,Positive
2014-08-27 15:21:59,55,Male,United States,PA,No,Yes,Yes,Rarely,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No,My refer to the mental health issue of depression.  I might answer differently if I was talking about a more serious issue like schizophrenia,46-70,my refer to the mental health issue of depression i might answer differently if i was talking about a more serious issue like schizophrenia,0.016666666666666677,Neutral
2014-08-27 15:22:20,32,Female,United States,WA,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,Maybe,Yes,No,My employer does what they can providing a wellness program and pointing it out after particularly stressful times. But the interaction between the wellness program and the medical insurance is unpleasant and finding a long-term therapist / psychiatrist covered by insurance is amazingly difficult. My current lack of active treatment is due to insurance friction more than workplace friction.,26-35,my employer does what they can providing a wellness program and pointing it out after particularly stressful times but the interaction between the wellness program and the medical insurance is unpleasant and finding a long term therapist psychiatrist covered by insurance is amazingly difficult my current lack of active treatment is due to insurance friction more than workplace friction,-0.09270833333333334,Negative
2014-08-27 15:22:52,34,Male,United States,NY,No,Yes,Yes,Rarely,More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Very difficult,Maybe,Maybe,Some of them,Some of them,No,No,Yes,No,I work for a university.,26-35,i work for a university,0.0,Neutral
2014-08-27 15:25:47,29,Male,Canada,Unknown,No,No,Yes,Sometimes,100-500,No,Yes,Don't know,Not sure,Don't know,Don't know,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No,Being in Canada there are several health options that are available to Canadian citizens/perm residents for free so employers may not provide resources because they are available elsewhere. Otherwise good quiz. I hope this benefits everyone who's dealt with mental health issues in the past!,26-35,being in canada there are several health options that are available to canadian citizens perm residents for free so employers may not provide resources because they are available elsewhere otherwise good quiz i hope this benefits everyone who s dealt with mental health issues in the past,0.2125,Positive
2014-08-27 15:26:57,35,Male,United States,CA,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,Don't know,Very difficult,Maybe,Maybe,Some of them,Some of them,No,Maybe,No,Yes,I'm troubled by the way that our hiring process tends to filter out non-neurotypicals of all stripes. Competent people who act a little funny can be hard to hire.,26-35,i m troubled by the way that our hiring process tends to filter out non neurotypicals of all stripes competent people who act a little funny can be hard to hire,-0.04583333333333334,Neutral
2014-08-27 15:31:20,30,Female,Germany,Unknown,No,Yes,Yes,Sometimes,100-500,No,Yes,Don't know,Not sure,No,No,Don't know,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,No,No,In Germany your employer doesn't really provide mental health benefits. There's a standard and I get that but I would get the same at any other company in Germany.,26-35,in germany your employer doesn t really provide mental health benefits there s a standard and i get that but i would get the same at any other company in germany,-0.004999999999999999,Neutral
